route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
193047,28254102,28254102,,,,193047
193047,28254105,28254105,,,,193047
193047,28254108,28254108,,,,193047
193047,28254111,28254111,,,,193047
193047,28254114,28254114,,,,193047
193047,28254117,28254117,,,,193047
193047,28254120,28254120,,,,193047
193047,28254123,28254123,,,,193047
193047,28254126,28254126,,,,193047
193047,28254129,28254129,,,,193047
193047,28254132,28254132,,,,193047
193047,28254135,28254135,,,,193047
193047,28253701,28253701,,,,193047
193047,28253704,28253704,,,,193047
193047,28253707,28253707,,,,193047
193047,28253710,28253710,,,,193047
193047,28253713,28253713,,,,193047
193047,28253716,28253716,,,,193047
193047,28253719,28253719,,,,193047
193047,28253722,28253722,,,,193047
193047,28253725,28253725,,,,193047
193047,28253728,28253728,,,,193047
193047,28253731,28253731,,,,193047
193047,28253734,28253734,,,,193047
193047,28253786,28253786,,,,193047
193047,28253791,28253791,,,,193047
193047,28253796,28253796,,,,193047
193047,28253801,28253801,,,,193047
193047,28253806,28253806,,,,193047
193047,28253811,28253811,,,,193047
193047,28253816,28253816,,,,193047
193047,28253821,28253821,,,,193047
193047,28253826,28253826,,,,193047
193047,28253831,28253831,,,,193047
193047,28253836,28253836,,,,193047
193047,28253841,28253841,,,,193047
193047,28253846,28253846,,,,193047
193047,28253851,28253851,,,,193047
193047,28253856,28253856,,,,193047
193047,28253861,28253861,,,,193047
193047,28253866,28253866,,,,193047
193047,28253871,28253871,,,,193047
193047,28253876,28253876,,,,193047
193047,28253916,28253916,,,,193047
193047,28253919,28253919,,,,193047
193047,28253922,28253922,,,,193047
193047,28253973,28253973,,,,193047
193047,28253976,28253976,,,,193047
193047,28253979,28253979,,,,193047
193047,28253964,28253964,,,,193047
193047,28253967,28253967,,,,193047
193047,28253925,28253925,,,,193047
193047,28253928,28253928,,,,193047
193047,28253931,28253931,,,,193047
193047,28253934,28253934,,,,193047
193047,28253937,28253937,,,,193047
193047,28253940,28253940,,,,193047
193047,28253943,28253943,,,,193047
193047,28253946,28253946,,,,193047
193047,28253949,28253949,,,,193047
193047,28253952,28253952,,,,193047
193047,28253955,28253955,,,,193047
193047,28253958,28253958,,,,193047
193047,28253961,28253961,,,,193047
193047,28253970,28253970,,,,193047
193052,28234087,28234087,,,,193052
193052,28234088,28234088,,,,193052
193052,28234016,28234016,,,,193052
193052,28234019,28234019,,,,193052
193052,28234022,28234022,,,,193052
193052,28234025,28234025,,,,193052
193052,28234029,28234029,,,,193052
193052,28234034,28234034,,,,193052
193052,28234039,28234039,,,,193052
193052,28234044,28234044,,,,193052
193052,28234049,28234049,,,,193052
193052,28234054,28234054,,,,193052
193052,28234059,28234059,,,,193052
193052,28233995,28233995,,,,193052
193052,28233998,28233998,,,,193052
193052,28234001,28234001,,,,193052
