trip_id,start_time,end_time,headway_secs,exact_times
28268833,18:11:00,18:30:00,1140,1
28268883,06:35:00,07:20:00,540,1
28268888,07:28:00,07:29:00,60,1
28269038,20:02:00,20:12:00,600,1
28269043,20:25:00,21:17:00,780,1
28269076,07:02:00,07:29:00,540,1
28269079,07:29:00,07:38:00,540,1
28269082,07:46:00,07:53:00,420,1
28269178,20:34:00,21:18:00,660,1
28269333,19:32:00,19:51:00,1140,1
28269288,09:41:00,09:56:00,900,1
28269294,10:41:00,10:56:00,900,1
28269300,12:41:00,12:56:00,900,1
28268800,12:10:00,12:29:00,1140,1
28268806,13:07:00,13:26:00,1140,1
28268824,16:36:00,16:55:00,1140,1
28268830,17:33:00,17:52:00,1140,1
28268893,07:36:00,07:52:00,480,1
28268903,08:08:00,08:17:00,540,1
28268963,15:04:00,15:30:00,780,1
28269028,19:02:00,19:22:00,600,1
28269085,08:01:00,08:08:00,420,1
28269088,08:16:00,08:23:00,420,1
28269112,10:01:00,10:23:00,660,1
28268839,19:08:00,19:27:00,1140,1
28268779,08:03:00,08:27:00,1440,1
28268938,10:31:00,11:23:00,780,1
28268948,12:02:00,12:28:00,780,1
28268968,15:43:00,15:56:00,780,1
28269100,09:00:00,09:08:00,480,1
28269103,09:15:00,09:23:00,480,1
28269106,09:30:00,09:39:00,540,1
28269169,19:38:00,19:46:00,480,1
28269172,19:55:00,20:03:00,480,1
28269175,20:12:00,20:23:00,660,1
28269109,09:49:00,09:50:00,60,1
28269115,10:34:00,11:29:00,660,1
28269121,12:35:00,12:57:00,660,1
28269127,14:03:00,14:58:00,660,1
28269157,18:33:00,18:41:00,480,1
28269160,18:48:00,18:56:00,240,1
28269306,13:41:00,14:26:00,900,1
28269312,15:11:00,15:26:00,900,1
28268818,15:39:00,15:58:00,1140,1
28268913,08:34:00,08:35:00,60,1
28268918,08:42:00,09:30:00,480,1
28268923,09:39:00,09:49:00,600,1
28268958,13:33:00,14:51:00,780,1
28268988,17:03:00,17:11:00,480,1
28268993,17:20:00,17:28:00,480,1
28269008,18:01:00,18:10:00,540,1
28269013,18:18:00,18:27:00,540,1
28269139,16:31:00,16:38:00,420,1
28269142,16:46:00,16:54:00,480,1
28269145,17:01:00,17:17:00,480,1
28269148,17:24:00,17:40:00,480,1
28269151,17:47:00,18:03:00,480,1
28269154,18:10:00,18:26:00,480,1
28269091,08:31:00,08:35:00,240,1
28269094,08:38:00,08:45:00,420,1
28269118,11:40:00,12:24:00,660,1
28269124,13:08:00,13:52:00,660,1
28269130,15:09:00,15:53:00,660,1
28269033,19:32:00,19:52:00,600,1
28269163,19:04:00,19:13:00,540,1
28269166,19:21:00,19:29:00,480,1
28269321,16:41:00,17:56:00,900,1
28269327,18:41:00,18:56:00,900,1
28269336,20:09:00,20:27:00,1080,1
28269291,10:11:00,10:26:00,900,1
28269297,11:11:00,12:26:00,900,1
28269303,13:11:00,13:26:00,900,1
28268943,11:36:00,11:49:00,780,1
28268953,12:41:00,13:20:00,780,1
28268973,16:04:00,16:13:00,540,1
28268978,16:21:00,16:29:00,480,1
28268983,16:30:00,16:54:00,480,1
28268998,17:36:00,17:45:00,540,1
28269018,18:35:00,18:43:00,480,1
28269133,16:02:00,16:16:00,420,1
28269136,16:24:00,16:30:00,360,1
28269318,16:11:00,16:26:00,900,1
28268933,10:05:00,10:18:00,780,1
28268812,14:04:00,14:23:00,1140,1
28269315,15:41:00,15:56:00,900,1
28269324,18:11:00,18:26:00,900,1
28278785,06:15:00,07:25:00,840,1
28278790,07:40:00,16:18:00,840,1
28278795,16:31:00,16:43:00,720,1
28278800,16:57:00,20:41:00,840,1
28278827,19:33:00,20:01:00,840,1
28278830,20:14:00,20:28:00,840,1
28278809,06:15:00,06:57:00,840,1
28278812,07:10:00,09:59:00,780,1
28278815,10:10:00,14:34:00,660,1
28278818,14:46:00,15:46:00,720,1
28278821,15:57:00,16:19:00,660,1
28278824,16:31:00,19:19:00,720,1
28240246,06:00:00,06:52:00,780,1
28240251,07:06:00,07:19:00,780,1
28240256,07:33:00,07:46:00,780,1
28240261,07:56:00,08:08:00,720,1
28240266,08:22:00,17:42:00,840,1
28240271,17:55:00,18:09:00,840,1
28240276,18:22:00,18:36:00,840,1
28240281,18:49:00,19:03:00,840,1
28240286,19:16:00,19:30:00,840,1
28240291,19:45:00,20:15:00,900,1
28240318,14:40:00,19:16:00,720,1
28240321,19:30:00,20:15:00,900,1
28240300,06:00:00,06:12:00,720,1
28240303,06:25:00,06:37:00,720,1
28240306,06:50:00,07:16:00,780,1
28240309,07:26:00,07:56:00,600,1
28240312,08:08:00,09:52:00,780,1
28240315,10:04:00,14:28:00,660,1
28269685,07:55:00,08:49:00,1080,1
28269686,09:08:00,09:27:00,1140,1
28269687,09:45:00,10:04:00,1140,1
28269688,10:22:00,10:41:00,1140,1
28269689,10:59:00,14:17:00,1080,1
28269690,14:36:00,19:02:00,1140,1
28269691,19:25:00,20:15:00,1500,1
28269692,20:45:00,23:15:00,1800,1
28269683,24:15:00,24:45:00,1800,1
28269684,06:25:00,07:37:00,1440,1
28269591,18:18:00,18:37:00,1140,1
28269594,18:55:00,19:14:00,1140,1
28269597,19:32:00,19:50:00,1080,1
28269600,20:15:00,23:15:00,1800,1
28269540,24:15:00,24:45:00,1800,1
28269543,06:00:00,07:59:00,1020,1
28269546,08:13:00,08:27:00,840,1
28269549,08:44:00,09:35:00,1020,1
28269552,09:48:00,10:01:00,780,1
28269573,13:35:00,14:23:00,960,1
28269576,14:40:00,14:56:00,960,1
28269579,15:13:00,15:29:00,960,1
28269582,15:46:00,16:02:00,960,1
28269585,16:19:00,16:35:00,960,1
28269588,16:52:00,18:00:00,1020,1
28269555,10:17:00,10:33:00,960,1
28269558,10:50:00,11:06:00,960,1
28269561,11:23:00,11:39:00,960,1
28269564,11:56:00,12:12:00,960,1
28269567,12:29:00,12:45:00,960,1
28269570,13:02:00,13:18:00,960,1
28269630,19:25:00,20:15:00,1500,1
28269633,20:45:00,23:15:00,1800,1
28269627,14:36:00,19:02:00,1140,1
28269609,06:25:00,07:37:00,1440,1
28269612,07:55:00,08:49:00,1080,1
28269615,09:08:00,09:27:00,1140,1
28269618,09:45:00,10:04:00,1140,1
28269621,10:22:00,10:41:00,1140,1
28269624,10:59:00,14:17:00,1080,1
28269606,24:15:00,24:45:00,1800,1
28269640,24:15:00,24:45:00,1800,1
