trip_id,start_time,end_time,headway_secs,exact_times
24519375,09:30:00,10:50:00,1200,1
24519376,11:25:00,12:00:00,2100,1
24519377,12:40:00,20:00:00,2400,1
24519378,21:00:00,23:00:00,3600,1
24519371,10:00:00,20:00:00,2400,1
24519369,07:20:00,07:55:00,2100,1
24519370,08:35:00,09:15:00,2400,1
24519372,21:00:00,23:00:00,3600,1
24519336,05:45:00,06:15:00,1800,1
24519337,06:35:00,07:00:00,1500,1
24519338,07:15:00,08:00:00,900,1
24519339,08:10:00,08:40:00,900,1
24519340,09:00:00,09:45:00,900,1
24519341,10:05:00,12:45:00,1200,1
24519342,13:10:00,13:25:00,900,1
24519343,13:45:00,16:45:00,1200,1
24519344,17:00:00,19:15:00,900,1
24519345,19:35:00,21:15:00,1200,1
24519346,22:15:00,24:15:00,3600,1
24519405,05:20:00,06:00:00,2400,1
24519406,06:20:00,06:35:00,900,1
24519407,06:55:00,07:15:00,1200,1
24519408,07:25:00,07:35:00,600,1
24519409,07:43:00,07:50:00,420,1
24519410,08:00:00,09:00:00,900,1
24519411,09:20:00,09:45:00,1500,1
24519412,10:05:00,17:45:00,1200,1
24519413,18:00:00,18:15:00,900,1
24519414,18:25:00,19:10:00,900,1
24519415,19:30:00,19:55:00,1500,1
24519416,20:15:00,20:55:00,1200,1
24519417,21:50:00,23:50:00,3600,1
24519429,05:35:00,08:05:00,1800,1
24519430,08:30:00,11:10:00,1200,1
24519431,11:40:00,19:40:00,2400,1
24519432,20:30:00,21:20:00,3000,1
24519418,07:00:00,07:35:00,2100,1
24519419,08:15:00,09:35:00,2400,1
24519420,10:20:00,11:00:00,2400,1
24519421,11:35:00,12:20:00,2700,1
24519422,13:00:00,13:35:00,2100,1
24519423,14:20:00,15:00:00,2400,1
24519424,15:35:00,16:20:00,2700,1
24519425,17:00:00,17:35:00,2100,1
24519426,18:20:00,19:00:00,2400,1
24519427,19:35:00,20:30:00,3300,1
24519428,21:20:00,22:20:00,3600,1
24519379,05:20:00,06:00:00,2400,1
24519380,06:20:00,06:35:00,900,1
24519381,06:55:00,07:15:00,1200,1
24519382,07:25:00,07:35:00,600,1
24519383,07:43:00,07:50:00,420,1
24519384,08:00:00,09:00:00,900,1
24519385,09:20:00,09:45:00,1500,1
24519386,10:05:00,17:45:00,1200,1
24519387,18:00:00,18:15:00,900,1
24519388,18:25:00,19:10:00,900,1
24519389,19:30:00,19:55:00,1500,1
24519390,20:15:00,20:55:00,1200,1
24519391,21:50:00,23:50:00,3600,1
24519440,06:50:00,07:05:00,900,1
24519434,06:50:00,07:05:00,900,1
24519449,11:50:00,13:30:00,6000,1
24519450,16:45:00,18:15:00,5400,1
24519443,11:50:00,13:30:00,6000,1
24519444,16:45:00,18:15:00,5400,1
24519512,05:40:00,06:40:00,1800,1
24519513,08:10:00,09:10:00,1800,1
24519514,10:10:00,15:10:00,3600,1
24519515,15:55:00,16:30:00,2100,1
24519516,17:10:00,18:00:00,3000,1
24519517,18:30:00,19:10:00,2400,1
24519518,05:45:00,06:35:00,3000,1
24519519,07:35:00,12:35:00,3600,1
24519520,13:30:00,18:30:00,3600,1
24519498,05:40:00,06:40:00,1800,1
24519499,08:10:00,09:10:00,1800,1
24519500,10:10:00,15:10:00,3600,1
24519501,15:55:00,16:30:00,2100,1
24519502,17:10:00,18:00:00,3000,1
24519503,18:30:00,19:10:00,2400,1
24519533,06:20:00,07:50:00,1800,1
24519534,08:30:00,09:10:00,2400,1
24519535,10:10:00,15:10:00,3600,1
24519536,16:00:00,16:40:00,2400,1
24519537,17:10:00,18:10:00,1800,1
24519538,19:10:00,19:55:00,2700,1
24519539,06:20:00,17:20:00,3600,1
24519521,06:20:00,07:50:00,1800,1
24519522,08:30:00,09:10:00,2400,1
24519523,10:10:00,15:10:00,3600,1
24519524,16:00:00,16:40:00,2400,1
24519525,17:10:00,18:10:00,1800,1
24519526,19:10:00,19:55:00,2700,1
24519558,07:15:00,08:10:00,3300,1
24519559,11:30:00,12:30:00,3600,1
24519560,13:20:00,14:30:00,4200,1
24519561,16:30:00,17:25:00,3300,1
24519562,18:30:00,19:25:00,3300,1
24519546,07:15:00,08:10:00,3300,1
24519547,11:30:00,12:30:00,3600,1
24519548,13:20:00,14:30:00,4200,1
24519549,16:30:00,17:25:00,3300,1
24519550,18:30:00,19:25:00,3300,1
24519574,05:45:00,06:40:00,3300,1
24519575,07:40:00,08:35:00,3300,1
24519576,12:00:00,15:00:00,3600,1
24519577,17:05:00,18:10:00,3900,1
24519578,19:05:00,19:50:00,2700,1
24519564,05:45:00,06:40:00,3300,1
24519565,07:40:00,08:35:00,3300,1
24519566,12:00:00,15:00:00,3600,1
24519567,17:05:00,18:10:00,3900,1
24519568,19:05:00,19:50:00,2700,1
24519616,13:40:00,19:10:00,19800,1
24519614,13:40:00,19:10:00,19800,1
24519619,08:30:00,13:55:00,19500,1
24519617,08:30:00,13:55:00,19500,1
24519644,05:35:00,06:05:00,1800,1
24519645,06:30:00,07:00:00,1800,1
